instance,domain,heuristic,plan_length,plan_cost,states_expanded,states_reopened,states_evaluated,evaluations,states_generated,dead_ends,states_expanded_ulj,states_reopened_ulj,states_evaluated_ulj,states_generated_ulj,registered_states,hash_set_load_factor,hash_set_resizes,search_time,total_time,peak_memory
depot - p04.pddl,depot,cg,31,31,19940,738,46740,46740,170967,0,12914,384,30068,110506,46740,0.713196,16,1.61334,1.66905,78884
depot - p05.pddl,depot,add,58,58,4976,747,18104,18104,45890,0,7,0,30,49,18104,0.55249,15,1.43785,1.45574,58040
depot - p05.pddl,depot,cg,51,51,590783,111039,1431451,1431451,5427598,0,590597,111025,1430900,5426078,1431451,0.682569,21,57.5805,57.6223,130040
depot - p06.pddl,depot,add,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
depot - p06.pddl,depot,cg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
depot - p07.pddl,depot,add,22,22,3108,312,9221,9221,27601,0,162,2,717,1389,9221,0.562805,14,0.272658,0.283542,56960
depot - p07.pddl,depot,cg,21,21,1948,116,6426,6426,18267,0,1877,116,6150,17604,6426,0.784424,13,0.142881,0.162806,71100
depot - p08.pddl,depot,add,36,36,40295,2755,217664,217664,471149,0,4832,843,21232,52188,217664,0.830322,18,12.8008,12.8216,66740
depot - p08.pddl,depot,cg,34,34,160074,5142,788048,788048,1785135,0,159851,5142,787119,1782635,788048,0.751541,20,29.075,29.097,97280
depot - p09.pddl,depot,add,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
